"track_id","locale","setting_name","setting_value","setting_type"
"18","pt_BR","title","LINGUÍSTICA, LETRAS E ARTES","string"
"18","pt_BR","abbrev","LLA","string"
"3","pt_BR","title","CIÊNCIAS EXATAS E DA TERRA II","string"
"3","pt_BR","abbrev","CET-II","string"
"3","pt_BR","policy","<p>SUB-&Aacute;REA</p><p>CI&Ecirc;NCIA DA COMPUTA&Ccedil;&Atilde;O</p>","string"
"3","pt_BR","identifyType","\N","string"
"12","pt_BR","title","ENGENHARIAS II","string"
"12","pt_BR","abbrev","ENG-II","string"
"12","pt_BR","policy","<p>SUB-&Aacute;REAS</p><ul><li>ENGENHARIA DE MINAS</li><li>ENGENHARIA DE MATERIAIS E METAL&Uacute;RGICA</li><li>ENGENHARIA QU&Iacute;MICA</li><li>ENGENHARIA NUCLEAR</li></ul>","string"
"12","pt_BR","identifyType","\N","string"
"15","pt_BR","title","CIÊNCIAS DA SAÚDE","string"
"15","pt_BR","abbrev","CS","string"
"15","pt_BR","policy","<p>SUB-&Aacute;REAS</p><ul><li>MEDICINA</li><li>ODONTOLOGIA</li><li>FARM&Aacute;CIA</li><li>ENFERMAGEM</li><li>SA&Uacute;DE COLETIVA</li><li>EDUCA&Ccedil;&Atilde;O F&Iacute;SICA</li></ul>","string"
"15","pt_BR","identifyType","\N","string"
"4","pt_BR","title","CIÊNCIAS EXATAS E DA TERRA III","string"
"4","pt_BR","abbrev","CET-III","string"
"4","pt_BR","policy","<p>SUB-&Aacute;REAS</p><ul><li>ASTRONOMIA</li><li>F&Iacute;SICA</li></ul>","string"
"4","pt_BR","identifyType","\N","string"
"9","pt_BR","title","CIÊNCIAS BIOLÓGICAS III","string"
"9","pt_BR","abbrev","CB-III","string"
"9","pt_BR","policy","<div>SUB-&Aacute;REAS</div><ul><li>IMUNOLOGIA</li><li>MICROBIOLOGIA</li><li>PARASITOLOGIA</li></ul>","string"
"9","pt_BR","identifyType","\N","string"
"16","pt_BR","title","CIÊNCIAS AGRÁRIAS","string"
"16","pt_BR","abbrev","CA","string"
"16","pt_BR","policy","<p>SUB-&Aacute;REAS</p><ul><li>AGRONOMIA</li><li>RECURSOS FLORESTAIS E ENGENHARIA FLORESTAL</li><li>ENGENHARIA AGR&Iacute;COLA</li><li>ZOOTECNIA</li><li>RECURSOS PESQUEIROS E ENGENHARIA DE PESCA</li><li>MEDICINA VETERIN&Aacute;RIA</li><li>CI&Ecirc;NCIA E TECNOLOGIA DE ALIMENTOS</li></ul>","string"
"16","pt_BR","identifyType","\N","string"
"10","pt_BR","title","CIÊNCIAS BIOLÓGICAS IV","string"
"10","pt_BR","abbrev","CB-IV","string"
"10","pt_BR","policy","ECOLOGIA<br />","string"
"10","pt_BR","identifyType","\N","string"
"13","pt_BR","title","ENGENHARIAS III","string"
"13","pt_BR","abbrev","ENG-III","string"
"13","pt_BR","policy","<p>SUB-&Aacute;REAS</p><ul><li>ENGENHARIA MEC&Acirc;NICA</li><li>ENGENHARIA DE PRODU&Ccedil;&Atilde;O</li><li>ENGENHARIA NAVAL E OCE&Acirc;NICA</li><li>ENGENHARIA AEROESPACIAL</li></ul>","string"
"13","pt_BR","identifyType","\N","string"
"8","pt_BR","title","CIÊNCIAS BIOLÓGICAS II","string"
"8","pt_BR","abbrev","CB-II","string"
"8","pt_BR","policy","<p>SUB-&Aacute;REAS</p><ul><li>MORFOLOGIA</li><li>FISIOLOGIA</li><li>BIOQU&Iacute;MICA</li><li>BIOF&Iacute;SICA</li><li>FARMACOLOGIA</li></ul>","string"
"8","pt_BR","identifyType","\N","string"
"2","pt_BR","title","CIÊNCIAS EXATAS E DA TERRA I","string"
"2","pt_BR","abbrev","CET-I","string"
"2","pt_BR","identifyType","\N","string"
"2","pt_BR","policy","<p>SUB-&Aacute;REAS</p><ul><li>MATEM&Aacute;TICA</li><li>PROBABILIDADE E ESTAT&Iacute;STICA</li></ul>","string"
"5","pt_BR","title","CIÊNCIAS EXATAS E DA TERRA IV","string"
"5","pt_BR","abbrev","CET-IV","string"
"5","pt_BR","policy","<p>SUB-&Aacute;REA</p><ul><li>QU&Iacute;MICA</li></ul>","string"
"5","pt_BR","identifyType","\N","string"
"6","pt_BR","title","CIÊNCIAS EXATAS E DA TERRA V","string"
"6","pt_BR","abbrev","CET-V","string"
"6","pt_BR","policy","<p>SUB-&Aacute;REA</p><ul><li>GEOCI&Ecirc;NCIAS</li></ul>","string"
"6","pt_BR","identifyType","\N","string"
"11","pt_BR","title","ENGENHARIAS I","string"
"11","pt_BR","abbrev","ENG-I","string"
"11","pt_BR","policy","<p>SUB-&Aacute;REAS</p><ul><li>ENGENHARIA CIVIL</li><li>ENGENHARIA SANIT&Aacute;RIA</li><li>ENGENHARIA DE TRANSPORTES</li></ul>","string"
"11","pt_BR","identifyType","\N","string"
"14","pt_BR","title","ENGENHARIAS IV","string"
"14","pt_BR","abbrev","ENG-IV","string"
"14","pt_BR","policy","<p>SUB-&Aacute;REAS</p><ul><li>ENGENHARIA EL&Eacute;TRICA</li><li>ENGENHARIA BIOM&Eacute;DICA</li></ul><p>&nbsp;</p>","string"
"14","pt_BR","identifyType","\N","string"
"18","pt_BR","policy","<p>SUB-&Aacute;REAS</p><ul><li>LINGU&Iacute;STICA</li><li>LETRAS</li><li>ARTES</li></ul>","string"
"18","pt_BR","identifyType","\N","string"
"19","pt_BR","title","MULTIDISCIPLINAR","string"
"19","pt_BR","abbrev","MULT","string"
"19","pt_BR","policy","<p>SUB-&Aacute;REAS</p><ul><li>MEIO AMBIENTE E AGR&Aacute;RIAS</li><li>SOCIAIS E HUMANIDADES</li><li>ENGENHARIA/TECNOLOGIA/GEST&Atilde;O</li><li>SA&Uacute;DE E BIOL&Oacute;GICAS</li><li>ENSINO DE CI&Ecirc;NCIAS E MATEM&Aacute;TICA</li><li>BIOTECNOLOGIA</li></ul>","string"
"19","pt_BR","identifyType","\N","string"
"20","pt_BR","title","Minicursos do CONNEPI 2010","string"
"20","pt_BR","abbrev","Minicursos","string"
"7","pt_BR","title","CIÊNCIAS BIOLÓGICAS I","string"
"7","pt_BR","abbrev","CB-I","string"
"7","pt_BR","policy","<p>SUB-&Aacute;REAS</p><ul><li>OCEANOGRAFIA</li><li>BIOLOGIA GERAL</li><li>GEN&Eacute;TICA</li><li>BOT&Acirc;NICA</li><li>ZOOLOGIA</li></ul>","string"
"7","pt_BR","identifyType","\N","string"
"60","pt_BR","policy","<object id=""ebbbbbaa-1b78-9fbb-187b-d8b329b692bb"" width=""0"" height=""0"" type=""application/gas-events-abn""></object>","string"
"60","pt_BR","identifyType","\N","string"
"63","pt_BR","title","LINGUÍSTICA, LETRAS E ARTES","string"
"63","pt_BR","abbrev","LLA","string"
"63","pt_BR","policy","<object id=""389bcbaa-5bc9-8194-3b8a-9a8728b0abaf"" width=""0"" height=""0"" type=""application/gas-events-abn""></object>","string"
"63","pt_BR","identifyType","\N","string"
"64","pt_BR","title","MEIO AMBIENTE","string"
"62","pt_BR","title","ENGENHARIAS","string"
"62","pt_BR","abbrev","ENG","string"
"62","pt_BR","policy","<object id=""5b48795a-2b69-89a5-1a6b-78b1f993b2ad"" width=""0"" height=""0"" type=""application/gas-events-abn""></object>","string"
