author_id;paper_id;primary_contact;seq;first_name;affiliation;country;url
1230;598;0;2;Fabíola;"<p>Instituto de Educação Básica, Técnica e Tecnológica do Maranhão - IFMA</p><p></p>";BR;http://www.cefet-ma.br
1765;838;1;1;Milena;IFCE - Instituto Federal de Educação, Ciência e Tecnologia do Ceará;BR;http://www.cefetce.br/
1231;598;0;3;Wagner;"<p>Instituto de Educação Básica, Técnica e Tecnológica do Maranhão - IFMA</p>";BR;http://www.cefet-ma.br
2038;958;1;1;Jackeline;Instituto Federal de Pernambuco.;BR;\N
2662;1241;0;4;IANNA;"<p>IF-SERTãO</p>";\N;\N
5170;824;0;2;Marcos;Universidade Potiguar;BR;\N
5171;824;0;3;Magnus;Universidade Potiguar;BR;\N
5169;824;0;4;Sheyla;Universidade Federal do Rio Grande do Norte;BR;\N
2663;1241;0;5;ÉRICA CAROLINE;"<p>IF-SERTãO</p>";\N;\N
2661;1241;0;3;ANDERSOM;"<p>IF-SERTãO</p>";BR;\N
3344;1559;0;2;Fernanda;Universidade Federal de Campina Grande - UFCG;BR;\N
3345;1559;0;3;Poliana Harlane;Universidade Federal de Campina Grande - UFCG;BR;\N
3346;1559;0;4;Luis;Instituto Federal de Educacao, Ciencia e Tecnologia de Pernambuco - Campus Afogados da Ingazeira;BR;\N
3347;1559;0;5;Maria Elita;Universidade Federal de Campina Grande - UFCG;BR;\N
813;412;1;1;fabricio;ifam campus Coari-Am;\N;\N
3348;1559;0;6;Mario Eduardo;Universidade Federal de Campina Grande - UFCG;BR;\N
2632;1241;1;1;ANA PAULA;"Instituto Federal de Educação, Ciências e Tecnologia do Sertão Pernambucano";BR;\N
4831;1904;0;2;Edgard;IFPB;BR;\N
5480;809;0;2;Luciane;IFPB;\N;\N
4832;1904;0;3;Ênio;UFC;BR;\N
2368;1112;1;1;Aleksandre;"Instituto Federal de Educação, Ciência e Tecnologia do Rio Grande do Norte-IFRN";BR;\N
1132;549;1;1;Benedito;"Instituto Federal de Educação, Ciência e Tecnologia do Pará";BR;\N
12;3;1;1;Nery;UNEAL/IESC/PGP/;BR;\N
494;236;1;1;FRAZÃO;Instituto Federal de Educação Ciencia e Tecnologia do Rio Grande do Norte;BR;\N
4683;1887;0;4;Cristiane;"Escola Bahiana de Medicina e Saúde Pública";\N;\N
577;284;1;1;marco;INSTITUTO FEDERAL DE EDUCACAO CIENCIA E TECNOLOGIA DO CEARÁ;BR;http://www.caninde.ifce.edu.br
2390;1125;1;1;Tiago;"Instituto Federal de Educação, Ciência e Tecnologia de Alagoas - IFAL";BR;\N
345;173;1;1;Luênia;IFRN;BR;\N
3281;1540;1;1;Cirlande;Instituto Federal do Amazonas (IFAM);BR;\N
200;98;1;1;Yuri;Instituto Federal de Educação, Ciência e Tecnologia de Goiás - IF Goiás;BR;\N
2374;1094;0;2;Talita;"IFPB-Picuí";BR;\N
1073;527;1;1;Herbert;"<html xmlns="""">Universidade Federal da Paraíba";BR;\N
4684;1887;0;5;Ana M.;"<div>Escola Bahiana de Medicina e Saúde Pública</div>";\N;\N
4681;1887;0;6;Armenio;"<div>Escola Bahiana de Medicina e Saúde Pública</div>";\N;\N
3741;1719;0;2;Gustavo;"Instituto Federal de Educação, Ciência e Tecnologia do Rio Grande do Norte Campus Natal - Zona Norte";BR;\N
171;75;1;1;Alexandre;"INSTITUTO FEDERAL DO CEARá";BR;http://pesquisaturismoquixada.blogspot.com/
2681;1251;1;1;Carlos;"<p>instituto federal de educação, ciência e tecnologia(IFRN).</p>";BR;\N
1241;604;1;1;Adonilde;"<p>Instituto Federal de Educacao, Ciencia e Tecnologia do Sertao Pernambucano, (IF Sertao PE -- Campus Petrolina Zona Rural)</p>";BR;\N
1247;604;0;2;Doan Francisca dos;"<p>Instituto Federal de Educacao, Ciencia e Tecnologia do Sertao Pernambucano, (IF Sertao PE -- Campus Petrolina Zona Rural)</p>";BR;\N
1248;604;0;3;Alexandre;"<p>Instituto Federal de Educacao, Ciencia e Tecnologia do Sertao Pernambucano, (IF Sertao PE -- Campus Petrolina Zona Rural)</p>";\N;\N
5260;1736;0;3;Jodonai;<div><div>Universidade Federal do Rio Grande do Norte</div></div>;\N;\N
5261;1736;0;4;Elaine;<div><div><div>Universidade Federal do Rio Grande do Norte</div></div></div>;\N;\N
5481;917;0;2;Patrícia;IFRN;\N;\N
785;392;1;1;nunes;Instituto Federal de Educação, Ciência e Tecnologia de Rondônia - IFRO;BR;\N
