"paper_id","user_id","sched_conf_id","track_id","language","start_time","end_time","comments_to_dr","citations","date_submitted","date_reminded","last_modified","date_status_modified","status","submission_progress","review_mode","current_stage","submission_file_id","revised_file_id","review_file_id","layout_file_id","director_file_id","pages","date_to_presentations","date_to_archive","comments_status"
"1466","643","1","7","pt","\N","\N","\N","\N","2010-07-23 19:06:47","\N","2010-10-25 16:56:00","2010-09-11 21:33:39","3","0","1","2","2456","4162","2483","\N","\N","\N","\N","\N","0"
"1161","270","1","9","pt","\N","\N","\N","\N","2010-07-23 14:01:47","\N","2010-10-25 17:22:34","2010-09-11 20:35:28","3","0","1","2","1926","3676","1930","\N","\N","\N","\N","\N","0"
"689","948","1","9","pt","\N","\N","\N","\N","2010-07-21 17:01:29","\N","2010-11-16 15:26:22","2010-09-11 13:44:49","3","0","1","2","1107","3745","1109","4945","\N","\N","2010-11-16 15:26:22","\N","0"
"3","29","1","17","pt","\N","\N","\N","\N","\N","\N","2010-06-15 19:28:44","2010-06-15 19:28:44","1","2","1","2","\N","\N","\N","\N","\N","\N","\N","\N","0"
"938","283","1","2","pt","2010-11-19 08:15:00","2010-11-19 09:45:00","\N","\N","2010-07-22 21:38:35","\N","2010-11-17 09:20:06","2010-09-12 17:01:13","3","0","1","2","1529","3944","1532","5326","\N","\N","2010-11-17 09:20:04","\N","0"
"1201","1449","1","13","pt","\N","\N","\N","\N","\N","\N","2010-07-23 14:50:12","2010-07-23 14:50:12","1","2","1","2","\N","\N","\N","\N","\N","\N","\N","\N","0"
"1511","286","1","19","pt","\N","\N","\N","\N","2010-07-23 19:39:27","\N","2010-11-17 09:27:16","2010-09-04 13:40:13","3","0","1","2","2540","\N","2548","5367","\N","\N","2010-11-17 09:27:15","\N","0"
"340","1084","1","17","pt","\N","\N","\N","\N","\N","\N","2010-07-14 15:54:16","2010-07-14 15:53:40","1","2","1","2","518","\N","\N","\N","\N","\N","\N","\N","0"
"1290","1819","1","17","pt","\N","\N","\N","\N","\N","\N","2010-07-23 16:15:29","2010-07-23 16:15:29","1","2","1","2","\N","\N","\N","\N","\N","\N","\N","\N","0"
"1544","691","1","19","pt","\N","\N","\N","\N","\N","\N","2010-07-23 20:01:52","2010-07-23 20:01:52","1","3","1","2","2585","\N","\N","\N","\N","\N","\N","\N","0"
"1637","195","1","10","pt","\N","\N","Segue em anexo a este um trabalho realizado com dedicação exclusiva. Com temática atual e relevante.","\N","2010-07-23 21:25:29","\N","2010-10-22 09:49:03","2010-09-11 22:05:58","3","0","1","2","2753","4306","2777","\N","\N","\N","\N","\N","0"
"1046","1464","1","17","pt","2010-11-19 08:15:00","2010-11-19 09:45:00","\N","\N","2010-07-23 10:31:19","\N","2010-11-17 09:51:34","2010-09-21 13:23:08","3","0","1","2","1715","\N","1724","5530","\N","\N","2010-11-17 09:51:31","\N","0"
