user_id;gender;initials;affiliation;url;country
552;M;HMN;Cefet-Ba;\N;BR
1021;F;MMOL;INSTITUTO FEDERAL DO PIAUÍ-CAMPUS FLORIANO;\N;BR
1265;F;RMSM;Instituto Federal de Rondônia, Campus Ji-Paraná;\N;BR
687;M;ESPS;"Instituto Federal do Amazonas;
Secretaria Municipal de Educação de Manaus.";http://www.ifam.edu.br;BR
2706;M;EBC;IFBA;http://www.ffclrp.usp.br;BR
1809;F;MSS;INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA - CAMPUS LIMOEIRO DO NORTE - CE.;\N;\N
4;\N;\N;\N;\N;\N
1022;M;CAMR;Instituto Federal de Educação, Ciência e Tecnologia do Pará;\N;\N
22;F;MVASE;Instituto Federal de Educação, Ciências e Tecnologia da Paraíba (IFPB);\N;BR
628;F;AAMS;IFPE e Prefeituras Municipais de Olinda e Paulista;\N;BR
1810;F;TMA;IFPB;\N;BR
754;F;TOS;Instituto Federal do Piauí;\N;\N
1996;M;SSMJ;Instituto Federal de Educação, Ciência e Tecnologia do Rio Grande do Norte;\N;BR
553;F;JSG;IFPI;\N;BR
1293;F;dam;ifrn;\N;BR
2707;\N;\N;teste;\N;\N
1304;F;jmms;IFMA - campus são luis maracanã;\N;BR
1133;M;MBSJ;INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DE ALAGOAS - CAMPUS SATUBA;\N;BR
773;F;AADM;aluna do instituto federal de ciencias tecnologica;\N;BR
554;M;jsl;instituto federal de educação,ciência e tecnologia do maranhão(IFIMA);\N;BR
1410;F;GSM;Instituto Federal de Alagoas - Campus Maceió.;\N;BR
1292;F;RPS;Intititu Federal de Ciências e Tecnologia do Ceará - Campus Cajazeiras;\N;BR
1812;F;FF;IFRN;\N;BR
30;F;RRMC;IFCE - Campus Sobral;\N;BR
1280;M;DEAN;Instituto Federal do Sertão Pernambucano;\N;\N
31;F;FNAM;IFCE - Campus Sobral;\N;BR
1630;M;AGA;INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DO PIAUÍ- IFPI;\N;BR
556;F;CMDC;Istituto Federal de Educação, Ciência e Tecnologia do Amazonas;\N;BR
1813;M;DFMN;IFPB;\N;\N
710;F;DLS;INSTITUTO FEDERAL DE EDUCAÇÃO CIÊNCIA E TECNOLOGIA DO CEARÁ;\N;\N
1528;M;RPS;Instituto Federal de Educação, Ciências e Tecnológicas;\N;BR
1026;M;FTM;Instituto Federal de Educação, Ciência e Tecnologia do Maranhão;\N;BR
647;M;DHSN;INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DA BAHIA - IFBA;http://buscatextual.cnpq.br/buscatextual/visualizacv.jsp?id=K4299601T6&mostrarNroCitacoesI;BR
1924;M;EDC;IFAL;\N;BR
819;F;TMS;Instituto Federal de Educação, Ciência e Tecnologia de Alagoas;\N;BR
1798;F;MIA;Instituto Federal de Educação Ciencia e Tecnologia do Piaui - Campus Corrente;\N;\N
2754;F;LS;IFRN;\N;\N
53;M;ERDS;INSTITUTO FEDERAL DA BAHIA;\N;BR
558;F;AMR;UFBA-Universidade Federal da Bahia;\N;BR
1974;M;ACPSM;UNIVERSIDADE FEDERAL DO RIO GRANDE DO NORTE - UFRN;\N;BR
1414;F;LPAD;IFPI - Instituto Federal de Educação, Ciencia e Tecnologia do Piauí;\N;\N
820;F;ASP;Faculdade Mauricio de Nassau;\N;BR
57;M;DSV;Instituto Federal de Educação, Ciência e Tecnologia do Piauí - IFPI;\N;BR
58;M;MWMS;IFPI;\N;BR
1137;M;SAEM;IFPB - Instituto Federal de Educação, Ciência e Tecnologia da Paraíba;\N;BR
2578;\N;\N;\N;\N;BR
1214;M;ACS;IF Goiás;\N;BR
2734;F;LM;IFCE;\N;\N
713;F;LMS;Instituto Federal de Educação, Ciência e Tecnologia do Piauí;\N;\N
1529;F;SSN;IF sertão Pernambucano;\N;BR
1337;M;DAP;Instituto Federal de Ciência e Tecnologia do Piauí - IFPI;http://www.daniloportela.com;BR
613;M;HFNM;INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DO PIAUÍ - IFPI;\N;BR
1817;M;FAP;Universidade Federal do Amazonas;\N;BR
559;M;THL;Universidade Federal da Paraíba;\N;BR
2708;M;FAR;INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DA BAHIA;\N;BR
557;M;jcds;IFAL;\N;BR
560;M;APGN;Instituto Federal de Educação, Ciência e Tecnologia do PARÁ - IFPA;\N;BR
70;M;MMS;fACULDADE AMADEUS;\N;\N
1029;F;DRGP;IFCE-campus Quixadá;\N;\N
72;M;dms;IFPE-Campus Recife;\N;BR
73;M;anq;IFPE - Campus Recife;\N;BR
775;F;MBB;Instituto Federal da Paraiba;\N;BR
